work,book,line,sentence_id,verb_lemma,voice,mood,tense,sbj,obj,pnom,obliques,n_args
Iliad,1,176,2274194,εἰμί,active,i,p,,ἐγώ,ἔχθιστος,,2
Iliad,1,178,2274196,εἰμί,active,i,p,,,καρτερός,,1
Iliad,1,178,2274196,δίδωμι,active,i,a,θεός,σύ|ὁ,,,3
Iliad,1,179,2274197,εἶμι,active,p,p,,,,,0
Iliad,1,180,2274197,ἀνάσσω,active,m,p,,Μυρμιδόνες,,,1
Iliad,1,180,2274197a,ἀλεγίζω,active,i,p,ἐγώ,σύ,,,2
Iliad,1,181,2274197b,ὄθομαι,medio-passive,i,p,,,,,0
Iliad,1,181,2274197b,κοτέω,active,p,p,,,,,0
Iliad,1,181,2274198,ἀπειλέω,active,i,f,,σύ,,,1
Iliad,1,182,2274199,ἀφαιρέω,medio-passive,i,p,Ἀπόλλων,ἐγώ|Χρυσηίς,,,3
Iliad,1,184,2274199,πέμπω,active,i,f,ἐγώ,ὁ,,,2
Iliad,1,184,2274199a,ἄγω,active,s,p,ἐγώ,Βρισηίς|γέρας,,,3
Iliad,1,185,2274199a,εἶμι,active,p,p,,κλισία,,,1
Iliad,1,185,2274199a,εἶδον,active,s,r,,,,,0
Iliad,1,186,2274199a,εἰμί,active,i,p,,,φέρτερος,:a:ὅσος,2
Iliad,1,186,2274199a,στυγέω,active,s,p,ἄλλος,,,,1
Iliad,1,187,2274199a,φημί,medio-passive,n,p,,,,,0
Iliad,1,187,2274199a,ὁμοιόω,passive,n,a,,,,,0
Iliad,1,188,2274200,φημί,middle,i,a,,,,,0
Iliad,1,188,2274201,γίγνομαι,middle,i,a,ἄχος,Πηλείων,,,2
Iliad,1,189,2274201a,μερμηρίζω,active,i,a,ἦτορ|ὁ|ὁ,ὁ|Ἀτρείδης|χόλος|θυμός,,ἐν:d:στῆθος,8
Iliad,1,190,2274201a,ἐρύω1,middle,p,a,,φάσγανον,,παρά:g:μηρός,2
Iliad,1,191,2274201a,ἀνίστημι,active,o,a,ὁ,ὁ,,,2
Iliad,1,191,2274201a,ἐναρίζω,active,o,p,ὁ,Ἀτρείδης,,,2
Iliad,1,192,2274201a,παύω,active,o,a,,χόλος,,,1
Iliad,1,192,2274201a,ἐρητύω,active,o,a,,θυμός,,,1
Iliad,1,193,2274202,ὁρμαίνω,active,i,i,ὁ,οὗτος,,κατά:a:φρήν;κατά:a:θυμός,4
Iliad,1,194,2274202,ἕλκω,medio-passive,i,i,,ξίφος,,ἐκ:g:κολεόν,2
Iliad,1,194,2274202,ἔρχομαι,active,i,a,Ἀθήνη,,,,1
Iliad,1,195,2274203,ἵημι,active,i,a,θεά|Ἥρα,ἄμφω,,:d:θυμός,4
Iliad,1,196,2274203,φιλέω,active,p,p,,,,,0
Iliad,1,196,2274203,κήδω,medio-passive,p,p,,,,,0
Iliad,1,197,2274204,ἵστημι,active,i,a,,,,,0
Iliad,1,197,2274204a,αἱρέω,active,i,a,,κόμη|Πηλείων,,,2
Iliad,1,198,2274204a,φαίνω,medio-passive,p,p,,,,,0
Iliad,1,198,2274205,ὁράω,medio-passive,i,i,τις,,,,1
Iliad,1,199,2274206,θαμβέω,active,i,a,,,,,0
Iliad,1,199,2274206a,τρέπω,middle,i,a,,,,,0
Iliad,1,199,2274206b,γιγνώσκω,active,i,a,,Ἀθήνη,,,1
Iliad,1,200,2274207,φαίνω,passive,i,a,ὄσσε,,,,1
Iliad,1,201,2274208,φωνέω,active,p,a,,,,,0
Iliad,1,201,2274208,προσαυδάω,active,i,i,,μιν|ἔπος,,,2
Iliad,1,202,2274209,ἔρχομαι,active,i,r,,,,::τίπτε,1
Iliad,1,203,2274210,εἶδον,medio-passive,s,a,,ὕβρις,,,1
Iliad,1,204,2274211,εἴρω2,active,i,f,,σύ,,,1
Iliad,1,204,2274211a,τελέω,middle,n,f,ὁ,,,,1
Iliad,1,204,2274211a,οἴομαι,active,i,p,,,,,0
Iliad,1,205,2274212,ὄλλυμι,active,s,a,,θυμός,,:d:ὑπεροπλία,2
Iliad,1,206,2274213,προσεῖπον,active,i,a,θεά|Ἀθήνη,ὁ,,,3
Iliad,1,207,2274214,ἔρχομαι,active,i,a,ἐγώ,,,,1
Iliad,1,207,2274214,παύω,active,p,f,,μένος,,,1
Iliad,1,207,2274214,πείθω,medio-passive,s,a,,,,,0
Iliad,1,208,2274215,ἵημι,active,i,a,θεά|Ἥρα,ἐγώ|ἄμφω,,:d:θυμός,5
Iliad,1,209,2274215,φιλέω,active,p,p,,,,,0
Iliad,1,209,2274215,κήδω,medio-passive,p,p,,,,,0
Iliad,1,210,2274216,λήγω,active,m,p,,ἔρις,,,1
Iliad,1,210,2274216a,ἕλκω,medio-passive,m,p,,ξίφος,,:d:χείρ,2
Iliad,1,211,2274217,ὀνειδίζω,active,m,a,,,,:d:ἔπος,1
Iliad,1,211,2274217,εἰμί,middle,i,f,,,,,0
Iliad,1,212,2274218,ἐξείρω,active,i,f,,,,,0
Iliad,1,212,2274218a,τελέω,medio-passive,p,r,,,,,0
Iliad,1,212,2274218a,εἰμί,middle,i,f,ὁ,,,,1
