lemma,frequency,gloss_source,gloss,hdbscan_cluster,hdbscan_label,ward_12,ward_12_label,ward_25,ward_25_label,ward_50,ward_50_label,ward_100,ward_100_label
ἀποίχομαι,12,lsj,"to be gone away, to be far from, keep aloof from; hast forsaken; to be gone, to have departed; he has been gone",84,"leave, retire, gone, withdraw",8,"flee, pass, away, drive",18,"flee, fear, away, hold",31,"hold, leave, stay, retire",62,"leave, retire, away, ward"
ζόφος,12,lsj,"nether darkness; the realms of gloom; gloom, darkness; the gloom",4,"dark, black, murky, gloom",5,"day, funeral, black, cloud",11,"black, dark, bright, shine",18,"black, dark, bright, shine",37,"black, dark, bright, light"
ῥάβδος,12,lsj,"rod, wand; magic wand; divining-rod; fishing-rod",140,"spear, axe, sword, wand",4,"spear, bronze, eat, silver",9,"spear, bronze, breast, arrow",12,"spear, arrow, sword, girdle",28,"spear, sword, girdle, belt"
πομπός,12,lsj,"conductor, escort, guide; attendants, guards; conductress; conveyor, carrier of",-1,(outlier),1,"son, chariot, lord, old",4,"chariot, lord, guest, master",4,"guest, slave, serve, banquet",10,"slave, mistress, care, queen"
τίη,12,lsj,"why? wherefore?; why so, tell me?",59,"hither, wherefore, place, way",7,"come, return, near, arrive",16,"come, return, hither, arrive",28,"hither, wherefore, way, just",54,"hither, wherefore, way, just"
διέκ,12,lsj,out through,-1,(outlier),7,"come, return, near, arrive",16,"come, return, hither, arrive",29,"come, arrive, home, house",55,"home, house, inside, come forth"
κυανόπρῳρος,12,lsj,darkprowed,4,"dark, black, murky, gloom",5,"day, funeral, black, cloud",11,"black, dark, bright, shine",18,"black, dark, bright, shine",37,"black, dark, bright, light"
ἐλαία,12,lsj,olive-tree; the olives; Olea cuspidata; olive,109,"tree, wood, garden, fir",4,"spear, bronze, eat, silver",10,"eat, tree, heracles, meal",17,"tree, barley, garden, wood",36,"tree, wood, barley, garden"
ἠῶθεν,12,lsj,"from morn; at dawn, at break of day; to-morrow morning; in the morning",8,"day, light, morning, early",5,"day, funeral, black, cloud",12,"funeral, long, day, time",19,"long, day, time, morning",39,"day, morning, dawn, early"
εἰκοστός,12,lsj,twentieth; a tax of a twentieth; vicesima manumissionum,50,"years, tenth, period, ninth",11,"ask, inquire, pray, care",22,"ask, pray, inquire, care",44,"ask, inquire, pay, prize",87,"pay, debt, receive, price"
κίων,12,lsj,pillar; pillars; the Pillars; columnar gravestone,-1,(outlier),1,"son, chariot, lord, old",3,"divine, honour, zeus, wonder",3,"divine, honour, zeus, god",8,"honour, wonder, reverence, gift"
μαῖα,12,lsj,good mother; foster-mother; mother; midwife,-1,(outlier),1,"son, chariot, lord, old",2,"old, mother, son, wife",2,"old, son, mother, wife",5,"son, child, mother, father"
ἄντρον,12,lsj,"cave; inner chamber, closet",137,"house, chamber, inner, room",2,"chamber, sleep, sit, bed",6,"chamber, house, ground, inner",7,"chamber, house, ground, mountain",17,"peak, mountain, hill, headland"
Σκύλλα,12,lsj,Scylla,142,"thracian, scylla seal, monachus calchas, calypso icarian",1,"son, chariot, lord, old",1,"troy, athens, trojan, phthia",1,"troy, trojan, athens, thebes",3,"phthia, lesbos, hang, club"
ἀλήτης,12,lsj,"wanderer, vagabond; one who has wandered; vagrant, roving",62,"wander, roam, harm, away",10,"wound, destroy, slay, kill",21,"wound, destroy, slay, cut",42,"wound, cut, tears, toil",81,"toil, tears, pain, distressed"
Ἶρος,12,lsj,Irus; an Irus; a beggar,9,"ask, inquire, beggar, question",11,"ask, inquire, pray, care",22,"ask, pray, inquire, care",46,"rejoice, care, heed, counsel",89,"care, rejoice, heed, attempt"
ἀποδίδωμι,11,lsj,"give up; back, restore, return; render what is due, pay; give",30,"pay, price, debt, obligation",11,"ask, inquire, pray, care",22,"ask, pray, inquire, care",44,"ask, inquire, pay, prize",87,"pay, debt, receive, price"
κολεόν,11,lsj,"sheath, scabbard; sheath, wing-case",141,"strap, cord, thong, bar",4,"spear, bronze, eat, silver",9,"spear, bronze, breast, arrow",12,"spear, arrow, sword, girdle",28,"spear, sword, girdle, belt"
ναί,11,lsj,"yea, verily; yea; yea by; yes",-1,(outlier),7,"come, return, near, arrive",16,"come, return, hither, arrive",28,"hither, wherefore, way, just",54,"hither, wherefore, way, just"
ἠγάθεος,11,lsj,most holy,100,"divine, mortal, god, zeus",1,"son, chariot, lord, old",3,"divine, honour, zeus, wonder",3,"divine, honour, zeus, god",7,"divine, zeus, god, holy"
κράτιστος,11,agwn,"having or showing or arising from a desire to promote the welfare or happiness of others: ""his benevolent smile""; ""a ben",113,"delight, joy, pleasure, rejoice",9,"desire, noble, strength, easy",19,"desire, wish, love, want",34,"love, heart, sweet, warm",67,"sweet, warm, glad, delight"
ὄνειδος,11,lsj,"reproach, rebuke, censure, blame; in disgrace; reproach; with censures",97,"reproach, disgrace, reproof, rebuke",10,"wound, destroy, slay, kill",21,"wound, destroy, slay, cut",41,"destiny, dishonour, wretched, hateful",78,"dishonour, pity, disgrace, reproach"
