lemma,freq,hdbscan,ward_40,ward_80,ward_150,x,y,gloss,gloss_source
ἠέ,54,-1,39,39,80,3.052638,6.2294874,"or, whether",lsj
ἠέλιος,116,18,32,65,65,3.8097904,10.310934,,none
ἠίθεος,9,30,39,39,80,4.109339,9.752174,unmarried youth; unmated; ghosts of those who die unmarried,lsj
ἠβαιός,8,58,0,50,2,2.6598449,7.670485,small; the least; a few; in the least,lsj
ἠγάθεος,10,-1,29,14,31,2.7485442,9.291053,most holy,lsj
ἠγερέθομαι,15,177,7,47,50,0.5644484,13.843004,"gather together, assemble",lsj
ἠεροειδής,14,-1,10,7,4,1.4402978,9.358828,"misty, cloudy, dark; in the far distance, dimly",lsj
ἠερόεις,8,-1,10,7,4,1.3762075,9.427878,"cloudy, murky; the murky; livid",lsj
ἠθεῖος,6,71,31,34,131,4.2151184,7.027676,"trusty, honoured; trusty friends",lsj
ἠιών,12,78,22,36,8,4.5352917,10.24479,"shore, beach; banks; lower part of the face",lsj (relaxed match)
ἠλάκατα,5,30,39,39,80,4.154132,9.874792,wool on the distaff,lsj
ἠλίβατος,6,30,39,39,80,4.18027,9.894315,"high, steep; deep, abysmal; huge, enormous",lsj
ἠλακάτη,5,30,39,39,80,4.1839404,9.91031,distaff; the stalk; the fate; distaffshaped,lsj
ἠμί,86,110,31,34,113,3.3978672,6.3372545,"say; spake; said; aio, ad-agium",lsj
ἠμαθόεις,11,-1,10,7,4,1.4734542,9.490987,sandy,lsj
ἠμύω,5,-1,7,76,53,0.76089853,12.989815,"bow down, sink; totter, fall; fall, perish; cause to fall, ruin",lsj
ἠνεμόεις,13,-1,10,7,4,1.3561676,9.434772,"windy, airy; rapid, rushing; high-soaring, airy; stirred, waved by the wind",lsj
ἠνορέη,5,210,16,31,7,3.3415945,11.289463,"manhood, prowess; manly beauty; strength; force",lsj
ἠπεροπεύω,5,-1,39,39,80,1.5473942,10.748329,"cheat, cajole; seduction",lsj
ἠριγένεια,22,18,32,65,65,3.7319322,10.27929,"early-born, child of morn; morn; morning; a day",lsj
ἠχή,11,165,12,5,5,2.7551217,11.299607,"sound, noise; cry; wail; rumour, talk",lsj
ἠύτε,36,124,39,39,80,3.0739436,6.342966,"as, like as; even as; like; than",lsj (relaxed match)
ἠώς,106,18,32,65,65,3.733021,10.276154,"dawn; light of day; morning; at morn, early",lsj
ἠῶθεν,12,101,21,1,52,2.6934762,6.6033993,"from morn; at dawn, at break of day; to-morrow morning; in the morning",lsj
