lemma,sense_id,n_occ,field_hdbscan,field_label,field_ward_25,gloss,top_context_lemmas
δάκρυ,0,3,27,"blood, heart, feeling, life",9,Ev. Luc; tear; drop; lacruma,χέω φημί καθέζομαι χείρ καταρρέζω ἔπος ὀνομάζω ἀμείβω Θέτις
λήγω,0,3,-1,,8,"stay, abate; would stay; from; leave off, cease",ἔρις χόλος Ἀγαμέμνων πρῶτος ἐπαπειλέω Ἀχιλλεύς
ἐκπέρθω,0,3,-1,,7,"destroy utterly, sack; take as booty from",Ἀχαιός ἔχω πόλις Ἀτρείδης ἐυκνήμις θεός δίδωμι Ὀλύμπιος δῶμα Πρίαμος ἱκνέομαι δατέομαι
βαρύς,0,3,-1,,21,"heavy in weight; strength and force; bushy; heavy with age, infirmity",εὔχομαι Δαναοί χείρ Ἀπόλλων Ζεύς φίλος Κάλχας θεοπροπία ἀναφαίνω ζάω χθών δέρκομαι
πέλω,0,3,28,"cut, leave, draw, stream",1,"come into existence, become, be; was; when once in being; become",πᾶς ὠκύμορος λίσσομαι Ἀχιλλεύς μεθίημι χόλος μέγας ἕρκος Ἀχαιός πόλεμος κακός ὀιζυρός
ἱστός,0,3,-1,,13,"anything set upright; mast; the mast; rod, pole",γῆρας ἔπειμι οἶκος Ἄργος πάτρη ἐποίχομαι λέχος ἀντιάω ἱστοδόκη πελάζω πρότονοι ὑφίημι
ἄχνυμαι,0,3,2,"dishonour, bend, alive, awe",6,,δύναμαι χραισμέω ἀνίστημι ἥρως Ἀτρείδης εὐρύς κρείων Ἀγαμέμνων πολύς Ἕκτωρ ἀνδροφόνος θνήσκω
μένος,0,3,26,"strength, death, strife, fear",10,"might, force; strength, fierceness; spirit; force, might",παύω μέγας φρήν ἀμφιμέλας πίμπλημι ἔρχομαι πείθω Ἀτρείδης
ἀπειλέω,0,3,34,"speak, attempt, ask, make",8,"keep away; brought; forced; unroll, roll off",γέρας ἀφαιρέω πολύς μογέω δίδωμι υἱός Ἀχαιός ἀνίστημι μῦθος τελέω
ἐποίχομαι,0,3,-1,,4,"go towards, approach; draw near to; approach with hostile purpose, attack; go over, traverse",γῆρας ἔπειμι οἶκος Ἄργος πάτρη ἱστός λέχος ἀντιάω ὀρεύς πρῶτος κύων ἀργός
κῆρ,0,3,27,"blood, heart, feeling, life",9,"heart; with all the heart, heartily; exceedingly; throughout",φίλος βαίνω Ὄλυμπος κάρηνον χώομαι τόξον ὦμος ἔχω ἀμφηρεφής φαρέτρα φθινύθω μένω
γλυκύς,0,3,18,"wine, bowl, sweet, drinking",12,"sweet to the taste; smell; pleasant, delightful; sweet, fresh",Νέστωρ ἡδυεπής ἀνορούω λιγύς Πύλιος ἀγορητής γλῶσσα μέλι ῥέω αὐδή θεός ἐνδέξιος
σῶς,0,3,15,"youth, safe, small, honour",7,"safe and sound, alive and well; safe, whole; preserved, extant; intact",ἐρεθίζω νέομαι βούλομαι λαός ἀπόλλυμι οἶδα νοέω ναῦς μάχομαι Ἀχαιός
πέμπω,0,3,10,"send, set, lead, having",7,send; over; send for; send to,Φοῖβος ναῦς Χρύσης ἄναξ ἀφαιρέω Χρυσηίς Ἀπόλλων ἑταῖρος θοός ἑλίκωψ Ἀχαιός ἀνήρ
δείδω,0,3,7,"fear, rejoice, tears, cower",6,"fear; to be alarmed, anxious; fear to do; fear, dread",γέρων φρήν παρεῖπον ἀργυρόπεζος Θέτις θυγάτηρ ἅλιος βοῶπις πότνια Ἥρα
ἱστίον,0,3,8,"sea, earth, land, salt",13,"web, cloth, sheet; hangings; piece; sail",λιμήν πολυβενθής ἱκνέομαι στέλλω τίθημι ναῦς μέλας ἱστός ἵστημι λευκός πετάννυμι ἄνεμος
μηνίω,0,3,-1,,8,"cherish wrath, be wroth against; because of",ναῦς πάρημαι ὠκύπορος Ἀτρείδης Ἀχαιός διογενής Πηλεύς υἱός πούς ὠκύς Ἀχιλλεύς
εἴκω1,0,3,11,"know, perceive, better, des",8,"to be like, seem likely",εἶμι νύξ ὄσσε πῦρ λαμπετάω γέρας ἑτοιμάζω οἶος Ἀργεῖος ἀγέραστος
Ἑκάεργος,0,3,-1,,18,nine,ἀνήρ ἱλάσκομαι εἷς ἀρχός βουληφόρος Αἴας Ἰδομενεύς δῖος Ὀδυσσεύς Πηλείδης πᾶς ἔκπαγλος
μένω,0,3,32,"sit, stay, leap, stand",7,"stay, wait; stand fast; stay at home, stay where one is; lodge, stay",λίσσομαι φθινύθω φίλος κῆρ τλάω ἐπέρχομαι
κράτιστος,0,3,23,"best, better, force, bad",21,,ἐπιχθόνιος τρέφω ἀνήρ μάχομαι φήρ ὀρεσκῷος
χείρων,0,3,24,"arm, fight, anger, judgement",21,"meaner, inferior; worse than others; knave; worse",κρείσσων βασιλεύς χώομαι ἀνήρ Κλυταιμνήστρη προβέβουλα κουρίδιος ἄλοχος δέμας φυή φρήν ἔργον
Πρίαμος,0,3,-1,,18,priam; like Priam,γηθέω παῖς Τρώς μέγας χαίρω θυμός πᾶς πυνθάνομαι μάρναμαι βουλή Δαναοί μάχομαι
οἶος,0,3,-1,,21,"alone, lonely; alone; naught but; only",γέρας ἑτοιμάζω Ἀργεῖος ἀγέραστος εἴκω1 ξανθός κόμη αἱρέω Πηλείων φαίνω πατήρ μέγαρον
ὅσος,0,3,-1,,21,"as great as, how great; as much as, how much; as far as, how far; as long as, how long",εἶμι θεός ἄγω Βρισηίς καλλιπάρηος κλισία γέρας εἶδον φέρτερος στυγέω ἴσος φημί
ἀναβαίνω,0,3,32,"sit, stay, leap, stand",4,"go up, mount; go up to; goes up among; to trample on",ἐπιπλέω ὑγρός κέλευθος ἠέριος μέγας οὐρανός Ὄλυμπος καθεύδω
Ἥφαιστος,0,3,22,"greeks, olympus, men, cronos",18,Hephaestus; Volcanus; Plah; nine,δῶμα ἕκαστος κλυτοτέχνης ἄρχω ἀγορεύω μήτηρ φίλος ἐπίηρα φέρω λευκώλενος Ἥρα ἄσβεστος
αἰδέομαι,0,3,2,"dishonour, bend, alive, awe",6,"to be ashamed; from a sense of shame; stand in awe of, fear; show a sense of regard",πᾶς ἐπευφημέω Ἀχαιός ἱερεύς ἀγλαός δέχομαι ἄποινα ταρβέω βασιλεύς ἵστημι
ἐπιπείθομαι,0,3,34,"speak, attempt, ask, make",8,"to be persuaded; trust; to, put faith in; comply with, obey",θεός κλύω Πάτροκλος φίλος ἑταῖρος μῦθος χραισμέω ὅσος Ὄλυμπος εἶμι ἄαπτος χείρ
βέλος,0,3,26,"strength, death, strife, fear",10,"missile; arrow, dart; hurled; thrown",τίνω Δαναοί δάκρυον ἐχεπευκής ἐφίημι βάλλω ἵημι Ἀργεῖος κακός
ὁράω,0,3,11,"know, perceive, better, des",4,"Inscr. des tombeaux des rois; I know; a)ware; see, look",κήδω Δαναοί θνήσκω Ἀχιλλεύς δακρύω ἑταῖρος ἕζομαι λιάζομαι θίς ἅλς1 πολιός ἀπείρων
τρέφω,0,3,28,"cut, leave, draw, stream",23,"thicken; congeal; curdle; curdle, congeal",γενεά μέροψ ἄνθρωπος φθίω γίγνομαι Πύλος ἠγάθεος κράτιστος ἐπιχθόνιος ἀνήρ τέκνον αἰνός
θνήσκω,0,3,2,"dishonour, bend, alive, awe",7,Papers of the Amer. School; die; to be dead; dead,κήδω Δαναοί ὁράω δύναμαι ἄχνυμαι χραισμέω πολύς Ἕκτωρ ἀνδροφόνος πίπτω λαός ἐπασσύτερος
